station,valid,tmpc,dwpc
0V4,2020-04-02 07:35,7.00,2.72
0V4,2020-04-02 07:55,7.11,2.61
0V4,2020-04-02 08:15,6.50,2.50
0V4,2020-04-02 08:35,6.28,2.50
0V4,2020-04-02 08:55,6.11,2.28
0V4,2020-04-02 09:15,6.00,2.22
0V4,2020-04-02 09:35,5.78,2.22
0V4,2020-04-02 09:55,6.00,2.22
0V4,2020-04-02 10:15,6.28,2.00
0V4,2020-04-02 10:35,6.72,1.89
0V4,2020-04-02 10:55,3.61,2.28
0V4,2020-04-02 11:15,4.39,1.89
0V4,2020-04-02 11:35,6.50,2.00
0V4,2020-04-02 11:55,8.00,2.00
0V4,2020-04-02 12:15,8.00,2.72
0V4,2020-04-02 12:35,9.28,1.72
0V4,2020-04-02 12:55,10.00,2.72
0V4,2020-04-02 13:15,10.61,0.78
0V4,2020-04-02 13:35,11.11,-0.50
0V4,2020-04-02 13:55,11.50,-0.89
0V4,2020-04-02 14:15,12.11,-0.78
0V4,2020-04-02 14:35,12.78,-1.11
0V4,2020-04-02 14:55,12.72,-1.28
0V4,2020-04-02 15:15,13.00,-1.00
0V4,2020-04-02 15:35,13.61,-1.28
0V4,2020-04-02 15:55,13.89,-1.89
0V4,2020-04-02 16:15,14.50,-2.28
0V4,2020-04-02 16:35,14.61,-2.39
0V4,2020-04-02 16:55,15.11,-1.89
0V4,2020-04-02 17:15,15.61,-1.78
0V4,2020-04-02 17:35,16.00,-1.78
0V4,2020-04-02 17:55,16.11,-1.39
0V4,2020-04-02 18:15,16.22,-1.39
0V4,2020-04-02 18:35,16.72,-1.00
0V4,2020-04-02 18:55,17.00,-1.61
0V4,2020-04-02 19:15,17.50,-0.50
0V4,2020-04-02 19:35,17.61,-1.11
0V4,2020-04-02 19:55,17.89,-1.22
0V4,2020-04-02 20:15,17.89,-2.00
0V4,2020-04-02 20:55,18.00,-1.61
0V4,2020-04-02 22:55,16.28,-0.89
0V4,2020-04-02 23:15,15.61,-0.89
0V4,2020-04-03 01:55,9.61,0.78
0V4,2020-04-03 02:15,10.28,0.00
0V4,2020-04-03 02:35,8.39,-0.22
0V4,2020-04-03 02:55,6.50,1.22
0V4,2020-04-03 03:15,8.28,0.39
0V4,2020-04-03 03:35,10.11,0.00
0V4,2020-04-03 03:55,10.61,-0.22
0V4,2020-04-03 04:15,10.72,-0.22
0V4,2020-04-03 04:35,10.72,0.00
0V4,2020-04-03 04:55,11.11,-0.22
0V4,2020-04-03 05:15,8.89,0.00
0V4,2020-04-03 05:35,11.22,-0.50
0V4,2020-04-03 05:55,9.28,-0.28
0V4,2020-04-03 06:15,8.89,-0.11
0V4,2020-04-03 06:35,8.50,0.00
0V4,2020-04-03 06:55,8.00,0.00
0V4,2020-04-03 07:15,7.00,0.00
0V4,2020-04-03 07:35,7.11,-0.11
0V4,2020-04-03 07:55,6.89,-0.39
0V4,2020-04-03 08:15,8.39,-0.50
0V4,2020-04-03 08:55,10.11,-1.72
0V4,2020-04-03 09:15,7.28,-1.39
0V4,2020-04-03 09:35,8.11,-2.00
0V4,2020-04-03 09:55,6.72,-2.50
0V4,2020-04-03 10:15,9.00,-4.50
0V4,2020-04-03 10:35,8.61,-5.22
0V4,2020-04-03 10:55,8.22,-4.11
0V4,2020-04-03 11:15,6.00,-2.22
0V4,2020-04-03 11:35,5.89,-2.22
0V4,2020-04-03 11:55,7.11,-1.89
0V4,2020-04-03 12:15,8.61,-1.89
0V4,2020-04-03 12:35,10.22,-3.39
0V4,2020-04-03 12:55,11.72,-5.72
0V4,2020-04-03 13:15,12.28,-6.39
0V4,2020-04-03 13:35,13.00,-6.11
0V4,2020-04-03 13:55,13.61,-5.89
0V4,2020-04-03 14:15,14.11,-7.00
0V4,2020-04-03 14:35,14.61,-7.22
0V4,2020-04-03 14:55,15.28,-6.61
0V4,2020-04-03 15:15,15.72,-6.39
0V4,2020-04-03 15:35,16.39,-6.22
0V4,2020-04-03 15:55,16.78,-6.28
0V4,2020-04-03 16:15,17.22,-6.00
0V4,2020-04-03 16:35,17.78,-6.11
0V4,2020-04-03 16:55,18.50,-5.89
0V4,2020-04-03 17:15,19.22,-6.00
0V4,2020-04-03 17:35,19.89,-4.78
0V4,2020-04-03 17:55,20.28,-5.39
0V4,2020-04-03 18:15,20.78,-5.28
0V4,2020-04-03 18:35,21.22,-5.22
0V4,2020-04-03 18:55,21.28,-4.00
0V4,2020-04-03 19:15,21.61,-4.61
0V4,2020-04-03 19:35,21.78,-4.61
0V4,2020-04-03 19:55,22.00,-4.72
0V4,2020-04-03 20:15,22.22,-4.61
0V4,2020-04-03 20:35,22.50,-4.78
0V4,2020-04-03 20:55,22.50,-5.78
0V4,2020-04-03 21:15,22.61,-5.72
0V4,2020-04-03 21:35,22.39,-5.00
0V4,2020-04-03 21:55,22.50,-4.61
0V4,2020-04-03 22:15,21.72,-3.11
0V4,2020-04-03 22:35,21.50,-4.89
0V4,2020-04-03 22:55,20.78,-2.89
0V4,2020-04-03 23:15,20.39,-5.00
0V4,2020-04-03 23:35,19.61,-5.00
0V4,2020-04-03 23:55,18.78,-4.78
0V4,2020-04-04 00:15,18.61,-5.28
0V4,2020-04-04 00:35,17.61,-5.00
0V4,2020-04-04 00:55,15.61,-3.72
0V4,2020-04-04 01:15,14.72,-2.89
0V4,2020-04-04 01:35,14.72,-3.22
0V4,2020-04-04 01:55,12.22,-0.89
0V4,2020-04-04 02:15,14.11,-2.28
0V4,2020-04-04 02:35,13.00,-1.89
0V4,2020-04-04 02:55,9.50,0.00
0V4,2020-04-04 03:15,10.28,-0.72
0V4,2020-04-04 03:35,12.00,-1.61
0V4,2020-04-04 03:55,10.61,-0.61
0V4,2020-04-04 04:15,8.22,0.22
0V4,2020-04-04 04:35,7.50,0.00
0V4,2020-04-04 04:55,7.11,-0.50
0V4,2020-04-04 05:15,6.00,0.50
0V4,2020-04-04 05:35,7.11,-0.89
0V4,2020-04-04 05:55,6.11,-0.78
0V4,2020-04-04 06:15,5.89,-0.72
0V4,2020-04-04 06:35,4.11,-0.28
0V4,2020-04-04 06:55,4.50,0.72
0V4,2020-04-04 07:15,4.28,0.11
0V4,2020-04-04 07:35,3.61,0.00
0V4,2020-04-04 07:55,2.78,-0.11
0V4,2020-04-04 08:15,3.39,-0.72
0V4,2020-04-04 08:35,2.50,-0.61
0V4,2020-04-04 08:55,3.22,-0.78
0V4,2020-04-04 09:15,2.00,-0.61
0V4,2020-04-04 09:35,1.89,-0.72
0V4,2020-04-04 09:55,1.39,-0.61
0V4,2020-04-04 10:15,2.00,-0.50
0V4,2020-04-04 10:35,1.50,-0.72
0V4,2020-04-04 10:55,1.11,-0.50
0V4,2020-04-04 11:15,2.39,-0.50
0V4,2020-04-04 11:35,2.28,-0.39
0V4,2020-04-04 11:55,3.50,0.28
0V4,2020-04-04 12:15,5.78,2.50
0V4,2020-04-04 12:35,8.00,3.11
0V4,2020-04-04 12:55,9.50,3.39
0V4,2020-04-04 13:15,10.78,3.78
0V4,2020-04-04 13:35,11.72,3.78
0V4,2020-04-04 13:55,12.39,3.72
0V4,2020-04-04 14:15,13.61,3.39
0V4,2020-04-04 14:35,13.78,3.22
0V4,2020-04-04 14:55,14.78,3.61
0V4,2020-04-04 15:15,15.22,2.50
0V4,2020-04-04 15:35,15.72,2.78
0V4,2020-04-04 15:55,16.00,1.50
0V4,2020-04-04 16:15,16.28,2.39
0V4,2020-04-04 16:35,17.11,2.39
0V4,2020-04-04 16:55,18.11,3.00
0V4,2020-04-04 17:15,18.39,2.50
0V4,2020-04-04 17:35,18.89,2.28
0V4,2020-04-04 17:55,19.50,3.22
0V4,2020-04-04 18:15,19.11,2.50
0V4,2020-04-04 18:35,19.72,2.28
0V4,2020-04-04 18:55,19.89,2.50
0V4,2020-04-04 19:15,20.89,3.28
0V4,2020-04-04 19:35,20.72,3.22
0V4,2020-04-04 19:55,21.00,3.00
0V4,2020-04-04 20:15,21.50,3.28
0V4,2020-04-04 20:35,21.39,2.72
0V4,2020-04-04 20:55,21.61,2.89
0V4,2020-04-04 21:15,21.50,2.50
0V4,2020-04-04 21:35,21.50,2.28
0V4,2020-04-04 21:55,21.39,2.78
0V4,2020-04-04 22:15,21.28,3.11
0V4,2020-04-04 22:35,21.00,3.00
0V4,2020-04-04 22:55,20.50,3.28
0V4,2020-04-04 23:15,19.39,4.39
0V4,2020-04-04 23:35,18.39,4.22
0V4,2020-04-04 23:55,17.28,4.28
0V4,2020-04-05 00:15,16.11,4.72
0V4,2020-04-05 00:35,16.28,4.61
0V4,2020-04-05 00:55,14.11,5.00
0V4,2020-04-05 01:15,14.00,5.11
0V4,2020-04-05 01:35,13.89,5.11
0V4,2020-04-05 01:55,13.61,5.50
0V4,2020-04-05 02:15,13.11,5.61
0V4,2020-04-05 02:35,12.61,5.61
0V4,2020-04-05 02:55,12.72,6.00
0V4,2020-04-05 03:15,12.11,6.00
0V4,2020-04-05 03:35,11.78,6.11
0V4,2020-04-05 03:55,11.61,6.11
0V4,2020-04-05 04:15,10.72,6.00
0V4,2020-04-05 04:35,9.78,6.00
0V4,2020-04-05 04:55,9.11,6.00
0V4,2020-04-05 05:15,8.61,6.00
0V4,2020-04-05 05:35,7.72,5.78
0V4,2020-04-05 05:55,7.50,6.89
0V4,2020-04-05 06:15,7.11,6.61
0V4,2020-04-05 06:35,7.00,6.89
0V4,2020-04-05 06:55,6.28,6.22
0V4,2020-04-05 07:15,6.00,6.00
0V4,2020-04-05 07:35,5.72,5.61
0V4,2020-04-05 07:55,5.22,5.11
0V4,2020-04-05 08:15,5.22,5.11
0V4,2020-04-05 08:35,5.11,5.00
0V4,2020-04-05 08:55,4.61,4.50
0V4,2020-04-05 09:15,4.22,4.11
0V4,2020-04-05 09:35,4.11,4.00
0V4,2020-04-05 09:55,4.39,4.28
0V4,2020-04-05 10:15,3.50,3.50
0V4,2020-04-05 10:35,3.50,3.50
0V4,2020-04-05 10:55,3.78,3.78
0V4,2020-04-05 11:15,3.78,3.72
0V4,2020-04-05 11:35,4.00,3.78
0V4,2020-04-05 11:55,4.89,4.78
0V4,2020-04-05 12:15,6.78,6.72
0V4,2020-04-05 12:35,8.72,8.61
0V4,2020-04-05 12:55,10.22,8.28
0V4,2020-04-05 13:15,11.61,8.00
0V4,2020-04-05 13:35,12.72,8.72
0V4,2020-04-05 13:55,13.61,8.00
0V4,2020-04-05 14:15,14.22,8.00
0V4,2020-04-05 14:35,14.78,8.22
0V4,2020-04-05 14:55,15.50,8.11
0V4,2020-04-05 15:15,16.00,8.00
0V4,2020-04-05 15:35,17.00,8.72
0V4,2020-04-05 15:55,17.72,8.89
0V4,2020-04-05 16:15,17.78,8.89
0V4,2020-04-05 16:35,18.11,8.50
0V4,2020-04-05 16:55,19.28,9.11
0V4,2020-04-05 17:15,19.00,8.00
0V4,2020-04-05 17:35,19.39,8.28
0V4,2020-04-05 17:55,20.72,9.00
0V4,2020-04-05 18:15,21.00,8.72
0V4,2020-04-05 18:35,21.22,8.89
0V4,2020-04-05 18:55,21.39,8.50
0V4,2020-04-05 19:15,22.11,8.00
0V4,2020-04-05 19:35,22.50,7.72
0V4,2020-04-05 19:55,22.89,7.50
0V4,2020-04-05 20:15,22.89,8.11
0V4,2020-04-05 20:35,22.39,7.89
0V4,2020-04-05 20:55,23.28,8.39
0V4,2020-04-05 21:15,23.22,8.00
0V4,2020-04-05 21:35,22.72,8.22
0V4,2020-04-05 21:55,23.11,7.72
0V4,2020-04-05 22:15,22.89,7.78
0V4,2020-04-05 22:35,22.61,8.00
0V4,2020-04-05 22:55,22.00,8.61
0V4,2020-04-05 23:15,21.11,8.61
0V4,2020-04-05 23:55,19.00,9.00
0V4,2020-04-06 00:15,18.11,9.00
0V4,2020-04-06 00:35,16.50,9.22
0V4,2020-04-06 00:55,15.50,10.11
0V4,2020-04-06 01:15,15.28,10.22
0V4,2020-04-06 01:35,15.00,10.39
0V4,2020-04-06 01:55,15.50,10.39
0V4,2020-04-06 02:15,15.11,10.50
0V4,2020-04-06 02:35,15.50,9.89
0V4,2020-04-06 02:55,15.28,10.22
0V4,2020-04-06 03:15,14.00,10.50
0V4,2020-04-06 03:35,13.11,10.72
0V4,2020-04-06 03:55,12.61,11.22
0V4,2020-04-06 04:15,12.39,10.89
0V4,2020-04-06 04:35,11.78,11.39
0V4,2020-04-06 04:55,11.22,11.11
0V4,2020-04-06 05:15,11.00,10.78
0V4,2020-04-06 05:35,11.28,10.39
0V4,2020-04-06 05:55,11.00,10.89
0V4,2020-04-06 06:15,10.00,9.89
0V4,2020-04-06 06:35,9.72,9.61
0V4,2020-04-06 06:55,10.11,10.11
0V4,2020-04-06 07:15,9.89,9.78
0V4,2020-04-06 07:35,9.11,9.00
0V4,2020-04-06 07:55,9.28,9.22
0V4,2020-04-06 08:15,9.00,8.89
0V4,2020-04-06 08:35,8.50,8.39
0V4,2020-04-06 08:55,9.39,9.28
0V4,2020-04-06 09:15,8.39,8.28
0V4,2020-04-06 09:35,8.50,8.50
0V4,2020-04-06 09:55,8.78,8.72
0V4,2020-04-06 10:15,8.89,8.72
0V4,2020-04-06 10:35,9.00,8.89
0V4,2020-04-06 10:55,9.22,9.00
0V4,2020-04-06 11:15,8.39,8.28
0V4,2020-04-06 11:35,9.11,9.00
0V4,2020-04-06 11:55,10.00,9.89
0V4,2020-04-06 12:15,10.11,10.00
0V4,2020-04-06 12:35,12.89,11.39
0V4,2020-04-06 12:55,15.50,10.89
0V4,2020-04-06 13:15,17.11,10.78
0V4,2020-04-06 13:35,18.61,11.11
0V4,2020-04-06 13:55,19.78,11.22
0V4,2020-04-06 14:15,20.72,10.89
0V4,2020-04-06 14:35,20.50,10.39
0V4,2020-04-06 15:35,22.28,10.00
0V4,2020-04-06 15:55,23.28,10.50
0V4,2020-04-06 16:35,24.39,10.00
0V4,2020-04-06 16:55,24.50,9.89
0V4,2020-04-06 17:15,24.61,9.78
0V4,2020-04-06 17:35,25.50,10.22
0V4,2020-04-06 17:55,24.00,9.72
0V4,2020-04-06 18:15,20.50,11.78
0V4,2020-04-06 18:35,20.78,13.61
0V4,2020-04-06 18:55,23.39,12.78
0V4,2020-04-06 19:15,25.11,11.22
0V4,2020-04-06 19:35,25.00,10.22
0V4,2020-04-06 19:55,24.78,10.22
0V4,2020-04-06 20:15,24.72,9.39
0V4,2020-04-06 20:35,24.39,11.28
0V4,2020-04-06 20:55,24.11,11.28
0V4,2020-04-06 21:15,24.11,11.11
0V4,2020-04-06 21:35,24.11,10.89
0V4,2020-04-06 21:55,23.11,11.22
0V4,2020-04-06 22:15,23.22,10.78
0V4,2020-04-06 22:35,23.61,10.78
0V4,2020-04-06 22:55,23.50,10.89
0V4,2020-04-06 23:15,23.00,11.50
0V4,2020-04-06 23:35,21.11,11.61
0V4,2020-04-06 23:55,20.28,11.28
