Latitude (decimal degrees):	50.847
Longitude (decimal degrees):	4.352
Elevation (m):	34
Radiation database:	PVGIS-SARAH3


Slope: 90 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230815:1910,0.0,0.0,0.0,0.0,20.63,2.0,0.0
20230815:2010,0.0,0.0,0.0,0.0,19.17,2.41,0.0
20230815:2110,0.0,0.0,0.0,0.0,18.39,2.41,0.0
20230815:2210,0.0,0.0,0.0,0.0,17.69,2.14,0.0
20230815:2310,0.0,0.0,0.0,0.0,17.1,1.79,0.0
20230816:0010,0.0,0.0,0.0,0.0,16.55,1.66,0.0
20230816:0110,0.0,0.0,0.0,0.0,16.13,1.45,0.0
20230816:0210,0.0,0.0,0.0,0.0,15.99,1.52,0.0
20230816:0310,0.0,0.0,0.0,0.0,15.67,1.72,0.0
20230816:0410,0.0,0.0,0.0,0.0,15.29,1.86,0.0
20230816:0510,0.0,2.14,0.6,5.13,15.18,1.72,0.0
20230816:0610,0.0,33.11,9.3,14.45,15.96,1.52,0.0
20230816:0710,7.09,87.29,19.6,23.9,17.36,2.07,0.0
20230816:0810,46.08,139.18,33.9,33.07,18.54,2.34,0.0
20230816:0910,60.46,175.41,40.7,41.43,20.05,2.62,0.0
20230816:1010,75.73,203.17,46.5,48.19,21.25,2.83,0.0
20230816:1110,70.53,214.37,47.9,52.25,22.24,2.9,0.0
20230816:1210,152.81,232.56,57.7,52.63,22.95,3.03,0.0
20230816:1310,0.0,52.34,10.5,49.23,23.28,3.03,0.0
20230816:1410,66.65,183.52,42.6,42.91,23.3,3.1,0.0
20230816:1510,0.57,91.84,18.5,34.79,23.15,3.03,0.0
20230816:1610,2.15,79.2,16.4,25.73,23.02,3.1,0.0
20230816:1710,0.0,36.67,10.3,16.29,22.5,2.76,0.0
20230816:1810,0.0,5.34,1.5,6.92,21.66,2.62,0.0
20230816:1910,0.0,0.0,0.0,0.0,20.72,3.1,0.0
20230816:2010,0.0,0.0,0.0,0.0,19.76,2.9,0.0
20230816:2110,0.0,0.0,0.0,0.0,18.92,2.76,0.0
20230816:2210,0.0,0.0,0.0,0.0,18.34,2.9,0.0
20230816:2310,0.0,0.0,0.0,0.0,17.79,3.03,0.0
20230817:0010,0.0,0.0,0.0,0.0,17.36,2.9,0.0
20230817:0110,0.0,0.0,0.0,0.0,17.13,2.69,0.0
20230817:0210,0.0,0.0,0.0,0.0,17.27,2.48,0.0
20230817:0310,0.0,0.0,0.0,0.0,17.23,2.48,0.0
20230817:0410,0.0,0.0,0.0,0.0,17.37,2.9,0.0
20230817:0510,0.0,7.12,2.0,4.92,17.38,3.17,0.0
20230817:0610,0.0,20.65,5.8,14.24,17.49,2.62,0.0
20230817:0710,0.0,36.39,7.3,23.69,17.25,2.62,0.0
20230817:0810,1.64,93.57,19.0,32.85,17.63,2.9,0.0
20230817:0910,19.35,150.58,32.0,41.19,18.49,3.1,0.0
20230817:1010,14.61,161.09,33.5,47.91,19.64,3.17,0.0
20230817:1110,0.76,128.28,25.8,51.94,20.9,2.83,0.0
20230817:1210,0.0,93.22,18.7,52.31,21.67,2.21,0.0
20230817:1310,0.0,100.2,20.1,48.91,22.09,1.79,0.0
20230817:1410,0.0,74.28,14.9,42.61,22.25,2.28,0.0
20230817:1510,11.52,122.71,26.0,34.51,22.05,2.83,0.0
20230817:1610,52.72,98.1,31.8,25.45,22.06,3.1,0.0
20230817:1710,0.0,41.65,11.7,16.02,21.76,2.97,0.0
20230817:1810,0.0,14.95,4.2,6.65,21.22,2.41,0.0
20230817:1910,0.0,0.0,0.0,0.0,19.66,2.28,0.0
20230817:2010,0.0,0.0,0.0,0.0,19.27,2.34,0.0
20230817:2110,0.0,0.0,0.0,0.0,18.89,2.28,0.0
20230817:2210,0.0,0.0,0.0,0.0,18.69,2.21,0.0
20230817:2310,0.0,0.0,0.0,0.0,18.34,2.28,0.0
20230818:0010,0.0,0.0,0.0,0.0,18.34,2.48,0.0
20230818:0110,0.0,0.0,0.0,0.0,18.15,2.55,0.0
20230818:0210,0.0,0.0,0.0,0.0,17.94,2.48,0.0
20230818:0310,0.0,0.0,0.0,0.0,17.49,2.55,0.0
20230818:0410,0.0,0.0,0.0,0.0,17.19,2.69,0.0
20230818:0510,0.0,7.48,2.1,4.7,16.81,2.62,0.0
20230818:0610,0.0,21.36,6.0,14.03,17.36,3.31,0.0
20230818:0710,0.0,52.34,10.5,23.48,18.5,3.24,0.0
20230818:0810,0.0,79.76,16.0,32.63,19.33,3.03,0.0
20230818:0910,1.36,109.96,22.2,40.95,20.68,3.17,0.0
20230818:1010,17.76,163.02,34.1,47.64,22.09,2.9,0.0
20230818:1110,288.04,210.53,66.7,51.64,23.67,2.48,0.0
20230818:1210,476.83,124.39,77.2,51.99,25.17,2.0,0.0
20230818:1310,416.94,128.22,72.0,48.59,26.17,1.52,0.0
20230818:1410,140.52,186.8,50.0,42.31,26.94,1.72,0.0
20230818:1510,126.72,140.58,43.9,34.22,27.58,1.72,0.0
20230818:1610,85.48,76.18,35.5,25.17,27.75,2.07,0.0
20230818:1710,0.0,32.04,9.0,15.74,27.21,1.79,0.0
20230818:1810,0.0,13.88,3.9,6.36,26.16,2.14,0.0
20230818:1910,0.0,0.0,0.0,0.0,24.17,2.55,0.0
20230818:2010,0.0,0.0,0.0,0.0,23.18,2.76,0.0
20230818:2110,0.0,0.0,0.0,0.0,22.63,2.9,0.0
20230818:2210,0.0,0.0,0.0,0.0,22.3,3.03,0.0
20230818:2310,0.0,0.0,0.0,0.0,22.19,3.03,0.0
20230819:0010,0.0,0.0,0.0,0.0,22.07,2.9,0.0
20230819:0110,0.0,0.0,0.0,0.0,22.04,2.97,0.0
20230819:0210,0.0,0.0,0.0,0.0,22.25,2.97,0.0
20230819:0310,0.0,0.0,0.0,0.0,22.42,3.17,0.0
20230819:0410,0.0,0.0,0.0,0.0,22.73,3.24,0.0
20230819:0510,0.0,9.26,2.6,4.49,22.79,3.38,0.0
20230819:0610,0.0,8.9,2.5,13.82,23.04,3.1,0.0
20230819:0710,0.0,56.33,11.3,23.27,24.11,3.59,0.0
20230819:0810,9.71,112.17,23.7,32.41,24.08,4.0,0.0
20230819:0910,20.65,148.44,31.6,40.7,23.87,3.59,0.0
20230819:1010,0.0,60.82,12.2,47.36,24.19,3.1,0.0
20230819:1110,18.65,172.79,36.0,51.33,24.85,3.24,0.0
20230819:1210,0.0,44.86,9.0,51.66,25.71,3.72,0.0
20230819:1310,354.03,164.12,68.2,48.27,25.87,3.86,0.0
20230819:1410,321.54,123.78,62.2,42.0,26.01,3.93,0.0
20230819:1510,228.2,91.14,51.2,33.92,26.1,3.72,0.0
20230819:1610,97.1,67.75,36.2,24.88,25.9,3.31,0.0
20230819:1710,0.0,29.9,8.4,15.46,25.36,2.69,0.0
20230819:1810,0.0,13.88,3.9,6.08,24.1,2.21,0.0
20230819:1910,0.0,0.0,0.0,0.0,23.16,1.45,0.0
20230819:2010,0.0,0.0,0.0,0.0,21.57,2.07,0.0
20230819:2110,0.0,0.0,0.0,0.0,20.19,2.55,0.0
20230819:2210,0.0,0.0,0.0,0.0,19.36,2.55,0.0
20230819:2310,0.0,0.0,0.0,0.0,18.56,2.0,0.0
20230820:0010,0.0,0.0,0.0,0.0,17.64,1.52,0.0
20230820:0110,0.0,0.0,0.0,0.0,17.14,1.1,0.0
20230820:0210,0.0,0.0,0.0,0.0,17.45,0.69,0.0
20230820:0310,0.0,0.0,0.0,0.0,17.64,0.55,0.0
20230820:0410,0.0,0.0,0.0,0.0,17.08,0.76,0.0
20230820:0510,0.0,8.54,2.4,4.27,16.53,0.9,0.0
20230820:0610,0.0,26.34,7.4,13.61,17.28,0.48,0.0
20230820:0710,81.59,61.13,33.8,23.05,19.06,0.41,0.0
20230820:0810,215.42,86.89,49.4,32.18,20.39,0.21,0.0
20230820:0910,340.51,106.43,62.6,40.45,21.71,0.55,0.0
20230820:1010,437.46,117.77,72.2,47.08,22.86,0.76,0.0
20230820:1110,491.63,123.91,77.5,51.01,23.81,0.62,0.0
20230820:1210,503.11,121.13,78.4,51.33,24.73,0.14,0.0
20230820:1310,245.09,209.71,61.9,47.94,25.25,0.69,0.0
20230820:1410,234.28,170.94,57.1,41.69,25.66,1.31,0.0
20230820:1510,35.89,139.71,31.8,33.62,25.71,1.38,0.0
20230820:1610,5.65,85.57,18.3,24.59,25.58,1.59,0.0
20230820:1710,0.0,28.84,8.1,15.17,24.99,1.59,0.0
20230820:1810,0.0,11.04,3.1,5.79,23.85,2.07,0.0
20230820:1910,0.0,0.0,0.0,0.0,22.17,2.76,0.0
20230820:2010,0.0,0.0,0.0,0.0,21.01,2.83,0.0
20230820:2110,0.0,0.0,0.0,0.0,20.23,2.76,0.0
20230820:2210,0.0,0.0,0.0,0.0,19.84,2.69,0.0
20230820:2310,0.0,0.0,0.0,0.0,19.81,2.62,0.0
20230821:0010,0.0,0.0,0.0,0.0,19.53,2.41,0.0
20230821:0110,0.0,0.0,0.0,0.0,19.08,2.14,0.0
20230821:0210,0.0,0.0,0.0,0.0,18.96,1.79,0.0
20230821:0310,0.0,0.0,0.0,0.0,18.24,1.79,0.0
20230821:0410,0.0,0.0,0.0,0.0,17.8,1.72,0.0
20230821:0510,0.0,7.83,2.2,4.05,17.48,1.72,0.0
20230821:0610,0.0,30.97,8.7,13.4,18.31,1.31,0.0
20230821:0710,80.71,64.67,33.1,22.84,19.24,1.66,0.0
20230821:0810,214.16,90.26,48.8,31.96,20.51,1.86,0.0
20230821:0910,338.09,109.28,61.8,40.2,21.42,1.66,0.0
